Disease,All Symptoms
irritable bowel syndrome (ibs),"Abdominal pain, Bloating, Gas, Diarrhea or constipation, Mucus in stool, Fatigue, Nausea"
chronic fatigue syndrome (cfs),"Extreme fatigue, Muscle and joint pain, Headaches, Sleep disturbances, Difficulty concentrating, Sore throat, Enlarged lymph nodes"
lice,"Intense itching, Visible lice or nits on hair, Red bumps on scalp, Irritation of the scalp, Sleeplessness due to itching, Sores from scratching"
paget's disease of bone,"Bone pain, Joint pain, Bowed legs, Enlarged skull, Hearing loss, Fractures, Numbness or tingling"
hodgkin's lymphoma,"Swollen lymph nodes, Fever, Night sweats, Weight loss, Itching, Fatigue, Cough or shortness of breath, Persistent fatigue, Chest pain, Abdominal swelling, Loss of appetite, Enlarged spleen or liver"
listeriosis,"Fever, Muscle aches, Nausea or diarrhea, Headache, Stiff neck, Confusion, Loss of balance, Seizures, Sensitivity to light, Loss of coordination"
liver cancer,"Weight loss, Loss of appetite, Upper abdominal pain, Nausea, Weakness, Jaundice, Abdominal swelling, Pain under right ribs, Enlarged liver, Dark urine, Fatigue"
hepatitis,"Fatigue, Nausea, Abdominal pain, Loss of appetite, Low-grade fever, Dark urine, Jaundice, Pale stool, Joint pain, Flu-like symptoms, Upper right abdominal discomfort"
dystonia,"Muscle contractions, Involuntary twisting movements, Abnormal postures, Difficulty with fine motor tasks, Tremors, Muscle cramps, Speech difficulties, Drooling, Eye twitching"
heat exhaustion,"Heavy sweating, Weakness, Dizziness, Nausea or vomiting, Muscle cramps, Cool moist skin, Fast weak pulse"
peripheral artery disease,"nan, pain,numbness,tingling in the arms or legs, leg pain during walking, cramping in hips or thighs, coldness in feet, leg numbness, shiny skin, slow-growing toenails, sores on feet"
gallstones,"Intense abdominal pain, Nausea, Vomiting, Jaundice, Fever, Chills"
atrial fibrillation,"weakness, rash, weakness, fatigue"
appendicitis,"nan, pain in the lower right abdomen,nausea,vomiting,fever"
arthritis,"Joint pain, Stiffness, Swelling, Redness, Decreased range of motion, Fatigue, Fever, Loss of appetite"
sepsis,"Fever, Rapid heart rate, Rapid breathing, Confusion, Extreme pain, Clammy skin, Low blood pressure"
tension headaches,"Dull aching head pain, Tightness across forehead, Tenderness on scalp and neck, Fatigue, Difficulty concentrating"
sickle cell disease,"Episodes of pain, Fatigue, Swelling in hands and feet, Frequent infections, Delayed growth, Vision problems, Anemia"
acute appendicitis,"Lower right abdominal pain, Pain worsens with movement, Nausea and vomiting, Loss of appetite, Abdominal bloating, Fever, Constipation or diarrhea"
chronic bronchitis,"Persistent cough with mucus, Shortness of breath, Wheezing, Fatigue, Chest discomfort, Frequent respiratory infections, Swelling in legs or ankles"
irritable bowel syndrome (ibs),"Abdominal pain, Bloating, Gas, Diarrhea or constipation, Mucus in stool, Fatigue, Nausea"
kidney stones,"Severe pain in side and back, Pain radiating to abdomen and groin, Pain fluctuating in intensity, Pain or burning sensation during urination, Pink or red urine, Cloudy urine, Persistent need to urinate, Nausea, Vomiting, Fever, Chills"
gout,"Intense joint pain, Swelling, Redness, Tenderness, Warmth in joint, Limited range of motion, Pain in big toe, Sudden onset at night, Development of tophi (lumps from crystal deposits)"
temporal arteritis,"Severe headache, Tender scalp, Jaw pain while chewing, Blurred vision, Fatigue, Unexplained weight loss, Fever, Double vision, Sudden vision loss, Scalp sensitivity"
venous thromboembolism,"Swelling in one leg, Pain or tenderness in limb, Red or discolored skin, Warmth in area, Difficulty breathing, Rapid heart rate, Chest pain, Dizziness, Fainting"
crohn's disease,"Abdominal pain, Diarrhea, Fatigue, Weight loss, Blood in stool, Mouth sores, Reduced appetite, Joint pain, Skin rashes, Eye inflammation"
ankylosing spondylitis,"Back pain, Hip pain, Fatigue, Reduced flexibility, Stiffness, Difficulty breathing in severe cases, Morning stiffness, Stooped posture"
transient ischemic attack (tia),"Sudden numbness, Confusion, Difficulty speaking, Difficulty seeing, Difficulty walking, Dizziness, Severe headache, Temporary vision loss, Trouble understanding speech"
food poisoning,"nan, nausea,vomiting,diarrhea,abdominal cramps"
ulcerative colitis,"Abdominal pain, Cramping, Diarrhea with blood, Rectal pain, Fatigue, Urgency to defecate, Weight loss"
shingles,"fatigue, rash, pain, rash"
peptic ulcer disease,"Burning stomach pain, Bloating, Belching, Heartburn, Nausea, Vomiting, Vomiting blood, Black stools, Sharp abdominal pain, Feeling faint"
alzheimer's disease,"nan, memory loss,confusion,difficulty thinking,changes in personality or behavior"
asthma,"Shortness of breath, Chest tightness, Wheezing, Trouble sleeping, Coughing worsened by respiratory infections"
peripheral neuropathy,"pain, fatigue, pain, weakness"
crohn's disease,"Abdominal pain, Diarrhea, Fatigue, Weight loss, Blood in stool, Mouth sores, Reduced appetite, Joint pain, Skin rashes, Eye inflammation"
peripheral artery disease,"pain, fatigue, pain, weakness, leg pain during walking, cramping in hips or thighs, coldness in feet, leg numbness, shiny skin, slow-growing toenails, sores on feet"
pneumothorax,"Sudden chest pain, Shortness of breath, Rapid heart rate, Fatigue, Bluish skin (cyanosis), Low blood pressure"
middle east respiratory syndrome (mers),"Fever, Cough, Shortness of breath, Diarrhea, Nausea and vomiting, Muscle pain, Sore throat"
breast cancer,"Lump in breast, Changes in breast size, Nipple discharge with blood, Skin dimpling, Breast pain, Swollen lymph nodes"
polymyalgia rheumatica,"Muscle pain, Stiffness in shoulders and hips, Fatigue, Limited range of motion, Low-grade fever, Morning stiffness, Weight loss"
pericarditis,"Sharp chest pain, Pain worsens with lying down, Shortness of breath, Fatigue, Fever, Cough"
dementia,"Memory loss, Difficulty concentrating, Confusion, Difficulty with language, Mood changes, Difficulty with daily tasks"
mononucleosis (mono),"Fatigue, Sore throat, Fever, Swollen lymph nodes, Headache, Skin rash, Swollen spleen or liver"
post-traumatic stress disorder (ptsd),"Flashbacks, Severe anxiety, Emotional numbness, Irritability, Difficulty sleeping, Avoiding trauma reminders, Trouble concentrating"
multiple myeloma,"Bone pain, Nausea, Fatigue, Frequent infections, Weight loss, Weakness or numbness in legs, Excessive thirst"
bronchitis,"Persistent cough, Shortness of breath, Chest discomfort, Wheezing, Fatigue, Sore throat, Low-grade fever"
pulmonary embolism,"Sudden shortness of breath, Chest pain worsens with breathing, Rapid heart rate, Cough with blood, Lightheadedness, Leg swelling"
pulmonary fibrosis,"Shortness of breath, Dry persistent cough, Fatigue, Unexplained weight loss, Muscle pain, Clubbing of fingertips"
bursitis,"nan, pain,swelling,inflammation in bursa,which is small sac of fluid that cushions joints"
lymphoma,"fatigue, fever, fatigue, fever"
prostate cancer,"Difficulty urinating, Frequent urination, Pain during urination, Blood in urine or semen, Erectile dysfunction, Bone pain, Unexplained weight loss, Fatigue"
allergic rhinitis,"Sneezing, runny nose, itchy eyes, congestion, postnasal drip, fatigue"
west nile virus,"pain, fatigue, fever, headache, nausea"
appendicitis,"cough, pain, pain, vomiting, fatigue"
pneumonia,"nan, fever,cough,shortness of breath,chest pain,fatigue, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
syncope (fainting),"nausea, dizziness, dizziness, nausea, fatigue"
heatstroke,"dizziness, fever, headache, headache, fatigue"
carpal tunnel syndrome,"weakness, pain, fatigue, pain, weakness"
traumatic brain injury (tbi),"fatigue, headache, pain, headache, fatigue"
myocarditis,"pain, fatigue, fatigue, swelling, pain"
anthrax,"cough, pain, fatigue, fever, pain"
giant cell arteritis,"headache, pain, pain, headache, fatigue"
mononucleosis,"nan, fever,sore throat,fatigue,swollen lymph nodes,rash"
tuberculosis (tb),"cough, fever, cough, fever, fatigue, night sweats, weight loss, persistent cough, chest pain"
salmonella,"nan, fever,diarrhea,abdominal cramps,nausea,vomiting"
anemia,"nan, fatigue,shortness of breath,pale skin,lightheadedness,dizziness"
fibromyalgia,"Widespread muscle pain, Fatigue, Sleep disturbances, Memory problems, Headaches, Sensitivity to light and noise"
aflatoxicosis,"nan, vomiting,diarrhea,jaundice,liver damage,death"
common cold,"nan, runny nose,sneezing,sore throat,cough,congestion, sore throat, mild fever, congestion, body aches, sore throat, mild fever, congestion, body aches, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
kawasaki disease,"pain, fever, rash, fever, fatigue"
celiac disease,"Diarrhea, Bloating, Gas, Abdominal pain, Nausea, Vomiting, Constipation, Pale stools, Fatigue, Weight loss, Anemia, Osteoporosis, Mouth ulcers, Joint pain, Dermatitis herpetiformis, Numbness, Tingling, Headaches, Cognitive issues"
rubella,"rash, fever, rash, fever, fatigue"
chickenpox,"nan, rash,fever,headache,muscle aches,fatigue"
urinary tract infection (uti),"Strong urge to urinate, Burning sensation during urination, Cloudy urine, Pelvic pain, Fever, Fatigue, Back pain"
chronic kidney disease,"nan, fatigue,shortness of breath,swelling,high blood pressure,changes in urination"
sjögren's syndrome,"rash, pain, rash, pain, fatigue"
parkinson's disease,"nan, tremors,slow movement,stiffness,difficulty with balance,coordination"
stomach cancer,"Indigestion, Loss of appetite, Nausea, Bloating after eating, Unexplained weight loss, Blood in stool or vomit, Fatigue"
lupus,"rash, pain, fever, chills, fatigue, butterfly-shaped rash, skin lesions, shortness of breath, chest pain, dry eyes"
heart disease,"nan, chest pain,shortness of breath,fatigue,dizziness,fainting"
bladder cancer,"Blood in urine, Frequent urination, Painful urination, Lower back pain, Weight loss, Fatigue, Swelling in legs"
bacterial meningitis,"nan, fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
adenovirus,"nan, fever,sore throat,cough,conjunctivitis,rash,pink eye"
diabetes,"Increased thirst, Frequent urination, Unintended weight loss, Fatigue, Blurred vision, Slow-healing sores, Tingling or numbness in hands or feet, Red or swollen gums, Increased hunger"
heart valve disease,"fatigue, swelling, fatigue, pain, pain, fatigue"
depression,"nan, sadness,hopelessness,loss of interest in activities,changes in appetite,sleep,energy levels"
allergic rhinitis,"nan, runny nose,sneezing,itchy eyes,itchy nose,throat,palate"
meningitis,"nan, fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
ebola,"headache, vomiting, fever, fatigue, fever, pain"
typhoid fever,"fever, rash, fever, headache, fever, fatigue"
whooping cough (pertussis),"Severe coughing fits, Vomiting after coughing, Exhaustion, Runny nose, Nasal congestion, Mild fever"
heart attack,"nan, chest pain,shortness of breath,nausea,vomiting,lightheadedness,sweating, vomiting, breathlessness, sweating, chest_pain, vomiting, breathlessness, sweating, chest_pain, vomiting, breathlessness, sweating, chest_pain"
hemorrhagic stroke,"headache, pain, headache, fatigue, headache, weakness"
measles,"nan, fever,cough,runny nose,red eyes,sore throat,rash"
liver disease,"Jaundice (yellowing of skin and eyes), abdominal swelling, swelling in legs, itchy skin, dark urine, chronic fatigue, loss of appetite"
rheumatic fever,"fatigue, fever, rash, pain, fever, pain"
chickenpox,"rash, fever, rash, fever, fatigue, itching"
polymyositis,"weakness, fatigue, weakness, fatigue, pain, weakness"
sarcoidosis,"fatigue, pain, fatigue, fatigue, rash, pain"
cluster headaches,"fatigue, headache, pain, headache, swelling, pain"
pleurisy,"fatigue, cough, pain, cough, sneezing, pain"
radiation poisoning,"fatigue, nausea, vomiting, nausea, vomiting, diarrhea"
tuberculosis (tb),"nan, cough that does not go away,fever,night sweats,weight loss,fatigue,chest pain, night sweats, weight loss, persistent cough, chest pain"
stroke,"Sudden numbness or weakness, confusion, trouble speaking, vision problems, dizziness, loss of coordination, severe headache"
inflammatory bowel disease (ibd),"pain, fatigue, diarrhea, pain, fatigue, diarrhea"
lung cancer,"nan, cough that does not go away,shortness of breath,chest pain,unexplained weight loss,fatigue,blood in the sputum"
hypertension,"Severe headaches, nosebleeds, shortness of breath, chest pain, visual disturbances, fatigue, irregular heartbeat"
thyroid cancer,"nan, lump in the neck,hoarseness,fatigue,weight loss,unexplained heat intolerance,sensitivity to cold"
coronavirus (2019),"fever, cough, fever, runny nose, sore throat, fatigue"
rabies,"nan, fever,headache,muscle aches,tingling at the bite site,difficulty swallowing,hydrophobia,aerophobia"
sinusitis,"headache, pain, headache, congested, pain, headache, fatigue"
diverticulitis,"fatigue, pain, fever, nausea, pain, diarrhea, pain"
congestive heart failure,"Shortness of breath, Fatigue, Swelling in legs or abdomen, Rapid heartbeat, Persistent cough, Sudden weight gain"
tonsillitis,"fatigue, pain, fever, headache, chills, sore throat, pain"
chikungunya,"rash, pain, rash, fever, fatigue, fever, pain"
influenza,"nan, fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue"
flu,"nan, fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue"
asthma,"Shortness of breath, Chest tightness, Wheezing, Trouble sleeping, Coughing worsened by respiratory infections"
heart disease,"Chest pain or discomfort, shortness of breath, heart palpitations, dizziness, fatigue, swelling in legs or feet, fainting, irregular heartbeats"
rheumatoid arthritis,"Joint pain, Tenderness, Morning stiffness, Fatigue, Fever, Loss of appetite, Joint stiffness, Rheumatoid nodules, Reduced range of motion"
bronchitis,"Persistent cough, Shortness of breath, Chest discomfort, Wheezing, Fatigue, Sore throat, Low-grade fever"
colorectal cancer,"nan, change in bowel habits,such as diarrhea,constipation,narrowing of the stool,blood in the stool,abdominal pain,unexplained weight loss"
migraines,"pain, headache, fatigue, headache, nausea, vomiting, pain"
mononucleosis,"sore throat, fever, sore throat, fever, sore throat, fatigue, fever, fatigue"
diabetes,"Increased thirst, Frequent urination, Unintended weight loss, Fatigue, Blurred vision, Slow-healing sores, Tingling or numbness in hands or feet, Red or swollen gums, Increased hunger"
cancer,"nan, lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge"
psoriatic arthritis,"Joint pain, Stiffness, Swelling, Redness, Decreased range of motion, Fatigue, Fever, Loss of appetite"
cholera,"vomiting, diarrhea, fatigue, nausea, vomiting, rash, pain, diarrhea"
diphtheria,"difficulty breathing, sore throat, pain, fever, sore throat, sore throat, fatigue, fatigue"
alcoholism,"nan, physical dependence on alcohol,tolerance to alcohol,withdrawal symptoms,impaired judgment,memory problems,liver damage,heart disease,cancer"
malaria,"nan, fever,chills,sweating,headache,muscle aches,fatigue,vomiting,diarrhea, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
herpes simplex virus (hsv),"fever, body ache, fatigue, fever, body ache, pain, fever, pain"
concussion,"headache, pain, dizziness, headache, fatigue, headache, nausea, dizziness"
tetanus,"pain, fatigue, Animal bit me, scratch, redness, swelling, fever, infection"
blood clot,"nan, pain,swelling,redness,warmth,tenderness in the affected area,shortness of breath,chest pain,difficulty breathing,coughing up blood"
covid-19,"Fever, Dry cough, Shortness of breath, Fatigue, Loss of taste or smell, Headaches, Muscle aches, Sore throat, Nausea"
flu,"Sudden fever, chills, muscle pain, cough, runny nose, fatigue, sore throat, headache, nausea, vomiting (especially in children)"
leukemia,"fever, fatigue, fever, fatigue, chills, weakness, fatigue, fatigue, weakness"
carbon monoxide poisoning,"headache, dizziness, weakness, headache, nausea, dizziness, weakness, headache, dizziness, headache, fatigue"
vasculitis,"pain, fever, headache, fatigue, body ache, fever, headache, fatigue, fever, headache, fatigue"
encephalitis,"fever, headache, fatigue, pain, fatigue, fever, headache, pain, fever, headache, fatigue"
mumps,"pain, fever, headache, fever, swelling, fatigue, fever, headache, pain, fever, headache, fatigue"
e. coli infections,"nausea, vomiting, diarrhea, pain, nausea, diarrhea, pain, fatigue, nausea, vomiting, diarrhea, diarrhea"
rabies,"pain, fever, swelling, pain, fatigue, itching, Animal bit me, scratch, redness, swelling, fever, infection"
stroke,"nan, sudden weakness,numbness on one side of the body,difficulty speaking,confusion,trouble seeing in one eye,severe headache, nan, sudden weakness,numbness on one side of the body,confusion,difficulty speaking,trouble seeing in one eye,severe headache"
lyme disease,"fever, chills, rash, fatigue, rash, pain, rash, headache, fatigue, fever, rash, headache, fatigue"
polio,"fever, headache, sore throat, fever, headache, sore throat, vomiting, fever, headache, sore throat, fatigue, vomiting, pain, fatigue"
meningitis,"fever, chills, nausea, pain, pain, fever, headache, nausea, fever, headache, headache, fatigue, fever, pain"
dengue fever,"headache, rash, pain, rash, fever, rash, fever, headache, fever, fatigue, fever, headache, pain, fever, pain, muscle pain, severe headache, bleeding gums, joint pain, muscle pain, severe headache, bleeding gums, joint pain"
salmonella,"nausea, diarrhea, fever, nausea, vomiting, diarrhea, fatigue, fever, headache, nausea, vomiting, diarrhea, nausea, vomiting, diarrhea, diarrhea"
measles,"fever, cough, rash, cough, runny nose, rash, cough, rash, rash, fever, cough, runny nose, fever, rash, fever, fatigue"
zika virus,"rash, pain, fever, headache, rash, pain, rash, fever, rash, fatigue, fever, rash, pain, fever, headache, pain"
influenza,"fever, cough, chills, body ache, fever, cough, chills, fever, cough, body ache, fever, headache, fatigue, nausea, vomiting, fever, cough, headache, fatigue, fatigue"
norovirus,"fever, headache, diarrhea, fever, headache, vomiting, diarrhea, fever, nausea, vomiting, diarrhea, pain, fever, headache, nausea, vomiting, fatigue, fever, headache, nausea, vomiting, diarrhea"
hiv/aids,"fever, fatigue, rash, itching, fever, fatigue, chills, body ache, rash, pain, fever, fatigue, chills, rash, fever, fatigue, chills, rash, pain, fever, fatigue, rash, fatigue, persistent cough, night sweats, swollen lymph nodes, unexplained weight loss, persistent cough, night sweats, swollen lymph nodes, unexplained weight loss"
yellow fever,"fever, headache, vomiting, pain, fever, headache, nausea, vomiting, pain, fever, fatigue, chills, nausea, vomiting, pain, fever, headache, nausea, vomiting, fatigue, headache, fatigue, body ache, nausea, pain"
ebola virus disease,"fever, headache, vomiting, diarrhea, pain, weakness, fever, headache, fatigue, nausea, vomiting, pain, fatigue, fever, headache, nausea, pain, weakness, fever, pain, weakness, fatigue, vomiting, diarrhea, pain"
heart attack,"nan,  vomiting,  breathlessness,  chest_pain, nan,  vomiting,  sweating,  chest_pain, nan,  vomiting,  breathlessness,  sweating, nan,  vomiting,  breathlessness,  sweating,  chest_pain, nan,  breathlessness,  sweating,  chest_pain, vomiting, breathlessness, sweating, vomiting, breathlessness, sweating, chest_pain, breathlessness, sweating, chest_pain, vomiting, breathlessness, chest_pain, vomiting, sweating, chest_pain, vomiting, breathlessness, sweating, chest_pain, vomiting, breathlessness, sweating, chest_pain, vomiting, breathlessness, sweating, chest_pain"
urinary tract infection,"Strong urge to urinate, Burning sensation during urination, Cloudy urine, Pelvic pain, Fever, Fatigue, Back pain"
aids,"Fever, Fatigue, Weight loss, Swollen lymph nodes, Rash, Sore throat, Muscle pain, Headache, Mouth ulcers, Tuberculosis, Pneumonia, Candidiasis (thrush), Confusion, Depression, Memory loss"
allergy,"nan,  shivering,  chills,  watering_from_eyes, nan,  continuous_sneezing,  shivering,  watering_from_eyes, nan,  continuous_sneezing,  shivering,  chills,  watering_from_eyes, nan,  continuous_sneezing,  shivering,  chills, nan,  continuous_sneezing,  chills,  watering_from_eyes, continuous_sneezing, shivering, watering_from_eyes, continuous_sneezing, chills, watering_from_eyes, shivering, chills, watering_from_eyes, continuous_sneezing, shivering, chills, watering_from_eyes, continuous_sneezing, shivering, chills, itchy eyes, runny nose, sneezing, hives, itchy eyes, runny nose, sneezing, hives, continuous_sneezing, shivering, chills, watering_from_eyes, continuous_sneezing, shivering, chills, watering_from_eyes"
paralysis (brain hemorrhage),"nan,  vomiting,  headache,  altered_sensorium, nan,  headache,  weakness_of_one_body_side,  altered_sensorium, nan,  vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium, nan,  vomiting,  headache,  weakness_of_one_body_side, nan,  vomiting,  weakness_of_one_body_side,  altered_sensorium, headache, weakness_of_one_body_side, altered_sensorium, vomiting, weakness_of_one_body_side, altered_sensorium, vomiting, headache, weakness_of_one_body_side, vomiting, headache, altered_sensorium, vomiting, headache, weakness_of_one_body_side, altered_sensorium, vomiting, headache, weakness_of_one_body_side, altered_sensorium, vomiting, headache, weakness_of_one_body_side, altered_sensorium"
fungal infection,"nan, itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches, nan,  skin_rash,  nodal_skin_eruptions,  dischromic _patches, nan, itching,  nodal_skin_eruptions,  dischromic _patches, nan, itching,  skin_rash,  dischromic _patches, nan, itching,  skin_rash,  nodal_skin_eruptions, itching, nodal_skin_eruptions, dischromic _patches, skin_rash, nodal_skin_eruptions, dischromic _patches, itching, skin_rash, dischromic _patches, itching, skin_rash, nodal_skin_eruptions, dischromic _patches, itching, skin_rash, red_spots_over_body, family_history, skin_peeling, red_sore_around_nose, itching, skin_rash, nodal_skin_eruptions, itching, skin_rash, nodal_skin_eruptions, red_spots_over_body, dischromic _patches, family_history, skin_peeling, red_sore_around_nose, itching, skin_rash, nodal_skin_eruptions, red_spots_over_body, dischromic _patches, family_history, skin_peeling, red_sore_around_nose"
hypertension,"nan,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration, nan,  headache,  chest_pain,  dizziness,  loss_of_balance, nan,  headache,  dizziness,  loss_of_balance,  lack_of_concentration, nan,  headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration, nan,  headache,  chest_pain,  dizziness,  lack_of_concentration, nan,  headache,  chest_pain,  loss_of_balance,  lack_of_concentration, headache, chest_pain, dizziness, lack_of_concentration, headache, chest_pain, loss_of_balance, lack_of_concentration, headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration, headache, chest_pain, dizziness, loss_of_balance, headache, dizziness, loss_of_balance, lack_of_concentration, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
cervical spondylosis,"Neck pain, Stiffness, Muscle spasms, Clicking or grinding sensation, Tingling in arms and legs, Numbness, Weakness, Difficulty walking, Loss of bladder or bowel control"
dimorphic hemmorhoids(piles),"nan,  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  irritation_in_anus, nan,  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool, nan,  constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, nan,  constipation,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, nan,  constipation,  pain_during_bowel_movements,  bloody_stool,  irritation_in_anus, nan,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus, constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus, constipation, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
impetigo,"nan,  skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze, nan,  skin_rash,  high_fever,  blister,  yellow_crust_ooze, nan,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze, nan,  skin_rash,  high_fever,  red_sore_around_nose,  yellow_crust_ooze, nan,  skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze, nan,  skin_rash,  high_fever,  blister,  red_sore_around_nose, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze, high_fever, blister, red_sore_around_nose, yellow_crust_ooze, skin_rash, high_fever, blister, red_sore_around_nose, skin_rash, high_fever, blister, yellow_crust_ooze, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
drug reaction,"nan, itching,  skin_rash,  burning_micturition,  spotting_ urination, nan, itching,  skin_rash,  stomach_pain,  burning_micturition, nan, itching,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination, nan, itching,  skin_rash,  stomach_pain,  spotting_ urination, nan,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination, nan, itching,  stomach_pain,  burning_micturition,  spotting_ urination, itching, skin_rash, burning_micturition, spotting_ urination, itching, stomach_pain, burning_micturition, spotting_ urination, itching, skin_rash, stomach_pain, burning_micturition, skin_rash, stomach_pain, burning_micturition, spotting_ urination, itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination, itching, skin_rash, stomach_pain, spotting_ urination, itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination, itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination"
acne,"Whiteheads (closed plugged pores), Blackheads (open plugged pores), Small red bumps (papules), Pimples with pus (pustules), Large lumps (nodules), Painful cystic lesions, Appears on face, forehead, chest, back, shoulders"
gastroenteritis,"nausea, vomiting, fatigue, nausea, vomiting, diarrhea, diarrhea,  vomiting,  dehydration,  diarrhoea, nausea, vomiting, fatigue, nausea, vomiting, diarrhea, diarrhea,  sunken_eyes,  dehydration,  diarrhoea, nausea, vomiting, fatigue, nausea, vomiting, diarrhea, diarrhea,  vomiting,  sunken_eyes,  diarrhoea, nausea, vomiting, fatigue, nausea, vomiting, diarrhea, diarrhea,  vomiting,  sunken_eyes,  dehydration,  diarrhoea, nausea, vomiting, fatigue, nausea, vomiting, diarrhea, diarrhea,  vomiting,  sunken_eyes,  dehydration, vomiting, sunken_eyes, diarrhoea, sunken_eyes, dehydration, diarrhoea, vomiting, sunken_eyes, dehydration, vomiting, dehydration, diarrhoea, vomiting, sunken_eyes, dehydration, diarrhoea, abdominal cramps, dehydration, watery stool, vomiting, abdominal cramps, dehydration, watery stool, vomiting, sunken_eyes, dehydration, diarrhoea, vomiting, sunken_eyes, dehydration, diarrhoea"
